source,target
1437531657691611144,1437321985361649671
1437531646702587909,1437147905962360832
1437531644655718400,1436587984594341889
1437531639307984896,1437527769651482630
1437531632483897347,1437223014026956800
1437531625869361155,1437427470630731777
1437531623076122631,1437427664315375622
1437531618734903307,1437147905962360832
1437531609100599301,1437500025110765573
1437531605531119620,1437147905962360832
1437531604377915397,1437223014026956800
1437531603606114306,1437487603985567749
1437531601064374283,1437325357468815361
1437531597855657987,1436698474888769539
1437531595293011970,1437524937430896641
1437531588791767045,1436487040439357470
1437531567602155535,1437223014026956800
1437531563902836736,1437304131715276801
1437531559658237961,1437223014026956800
1437531555459706885,1437285604287463432
1437531553882509312,1437424830190661634
1437531543195590664,1437147905962360832
1437531538644627459,1437427470630731777
1437531536690229248,1437223014026956800
1437531536090402832,1437512862344359940
1437531527936712707,1437512862344359940
1437531525369810950,1437147905962360832
1437531522735611904,1437526442527526912
1437531518214180867,1418591690961539077
1437531511541182467,1437223014026956800
1437531501864886277,1437223014026956800
1437531500287873025,1437361533789540356
1437531494365421575,1437223014026956800
1437531494277386240,1437480569328349194
1437531491941195782,1437465574628478979
1437531491861422093,1437525063494815746
1437531483535773697,1437325357468815361
1437531483137323010,1437507881759383555
1437531478146043909,1437147905962360832
1437531477512634371,1437500976772964353
1437531477298790402,1437529995795124230
1437531474274701312,1437530233473835009
1437531467911999500,1437274232510164994
1437531462610259968,1437525137012756486
1437531461352054794,1437147905962360832
1437531454632824839,1437147905962360832
1437531448957816832,1437526442527526912
1437531443672936452,1437500976772964353
1437531436374970370,1436867431121633281
1437531419237101575,1437465574628478979
1437531412777865224,1437223014026956800
1437531411825758213,1437465574628478979
1437531403550289920,1437223014026956800
1437531395287658496,1436867431121633281
1437531387637243905,1437465574628478979
1437531383283339264,1437389382529527808
1437531382931070977,1437469763790417929
1437531382784221185,1437500976772964353
1437531381089845248,1437223014026956800
1437531374970343438,1437147905962360832
1437531373691027463,1437223014026956800
1437531370826383373,1437223014026956800
1437531368460783618,1437223014026956800
1437531368242573320,1437397545991512064
1436874953945669632,1436104144801067033
1436874943371776001,1436718549532172288
1436874939341197312,1436866400426119176
1436874933867532289,1436870340651671553
1436874927240585216,1436859650532646912
1436874925793447937,1436275085879308290
1436874920244436997,1433791894723743759
1436874918386274309,1436800292146663424
1436874904419266568,1436104144801067033
1436874902267736067,1436843026681303042
1436874902057988097,1436873003204333574
1436874897876156418,1436706398251798530
1436874897372893189,1436104144801067033
1436874880373309442,1436104144801067033
1436874873251373060,1436559653706428422
1436874866364276740,1436708451695034375
1436874857896099845,1436863224603893767
1436874856608448513,1436816874302545930
1436874856453349376,1436874273235214336
1436874849834635268,1436866052676222976
1436874845749448707,1436801247538028544
1436874839957016577,1436874737011945473
1436874837943717888,1436350054051188738
1436874820776390659,1436718549532172288
1436874775624916993,1436310383317430278
1436874769043968002,1436867431121633281
1436874764048642051,1436869771069468676
1436874763847155712,1436104144801067033
1436874762693877767,1436863224603893767
1436874759954857986,1436104144801067033
1436874749171413001,1436874552722796546
1436874747682312192,1436686773804052483
1436874745891409920,1436718549532172288
1436874740946247687,1435513132068311041
1436874737230114817,1436310383317430278
1436874733052641286,1436784363253997568
1436874730364018689,1436718549532172288
1436874722277396484,1436686773804052483
1436874721275023361,1436720760534405126
1436874713343610886,1436686773804052483
1436874709006704644,1436683013518237698
1436874708117377028,1436737471732072450
1436874694469193731,1436718549532172288
1436874691868696580,1436507380779556865
1436874683580813318,1436844851409010688
1436874679508258817,1436496736336314370
1436874669865332742,1436740456575086595
1436874669844541444,1436104144801067033
1436874667185242112,1436104144801067033
1436874656879980547,1436820616691212289
1436874654094807045,1436383754713399297
1436874645081235456,1436718549532172288
1436874643823112192,1421531105748930568
1436874641490862080,1436587984594341889
1436874637548441603,1436581758527426561
1436874632787804162,1435339141508579328
1436874623233232903,1436872192587878405
1436874618539810821,1436780577974149120
1436874616560144390,1436686773804052483
1436874604753133568,1436310383317430278
1436874601343111168,1435513132068311041
1436874597689962499,1436686773804052483
1436874594816831489,1436104144801067033
1436874586742722565,1436873592223027201
1436874563929837572,1436867877433487361
1436874554148745220,1436850002580709380
1436874543293812745,1436873588728946692
1436874541465104388,1436631213175939072
1436874536209633283,1436631213175939072
1436874526156103681,1436720760534405126
1436874510494482435,1436587984594341889
1436874506828587008,1436104144801067033
1436874504857264128,1436696762958241800
1436874502894407685,1436310383317430278
1436874490982674434,1436802107408011266
1436874482346446851,1436865307356762113
1436874480484184072,1436698713661923333
1436874472154439681,1436842151468486663
1436874459609190404,1427413655277219847
1436874449224024070,1436780088532537349
1436874445914710016,1436838650453581828
1436874442026586120,1436497685259845634
1436874441531826176,1436840732527144961
1436874436469264385,1436871529783074817
1436874431373053953,1436632023389532165
1436874428906819587,1436478338810449948
1436874414381887490,1435125436523024385
1436874410179252224,1436686773804052483
1436874409357152259,1436768069590859778
1436874386758258690,1436828034405916674
1436874379044941831,1436442515922509825
1436874377673551872,1436861826524872714
1436874371520413698,1436104144801067033
1436874363676991489,1436442515922509825
1436874361462353923,1436853323655696385
1436874342474919938,1436873505371344898
1436874340918652929,1436416176544956420
1436874336078647299,1436719980897177602
1436874329707319297,1436104144801067033
1436874322317123584,1436843026681303042
1436874319745933318,1436104144801067033
1436874319603253248,1436104144801067033
1436874315547435009,1436873588728946692
1436874313102028802,1436698713661923333
1436874305485225984,1436867113168228353
1436874301827739657,1436383754713399297
1436874269955399684,1436310383317430278
1436874269053444097,1436686773804052483
1436874268881473539,1436718549532172288
1436874266067169283,1436442515922509825
1436874264708268032,1436866052676222976
1436874255149326337,1436310383317430278
1436874248300212226,1436874052040278023
1436874244743381003,1436310383317430278
1436874236061048837,1436104144801067033
1436874224371601411,1436780577974149120
1436874223394430976,1436698713661923333
1436874219665739778,1436869771069468676
1436874219497967617,1436802107408011266
1436874203890806791,1436780088532537349
