source,target
1437540696685256714,1437393122020020224
1437540695540060164,1437483741870534666
1437540695401717765,1436868878345424896
1437540688611119109,1437532956113973252
1437540676430876674,1437532910224089089
1437540674790850560,1434969935176945668
1437540665362161672,1437504477880274944
1437540664271646723,1437532884638871558
1437540663533391873,1437475243979952129
1437540662841315328,1437539318646575104
1437540655866208257,1437440111717883904
1437540653173510147,1437532861410824201
1437540652900835337,1437517512611074051
1437540634844336136,1437532837629071362
1437540616381075470,1437517512611074051
1437540615210872834,1437532817806794754
1437540613864439808,1437431496697057284
1437540609393373187,1437043515066888197
1437540604674781184,1437459020508385282
1437540599184302083,1437471188935131144
1437540598261551105,1437468402222870528
1437540597099896833,1437521106886344705
1437540592389484544,1437534753075482624
1437540590342844432,1437410944242622468
1437540584533762048,1437033521999224833
1437540582495297542,1437488528980684802
1437540581216034817,1437489052027011084
1437540567215329281,1437476292404908040
1437540564438822912,1437475243979952129
1437540563029475336,1437378709145759748
1437540550211739650,1437475243979952129
1437540549041532937,1437487114887782409
1437540543064641539,1437501247913963522
1437540534067900418,1437500269642801157
1437540525637308423,1434204855254593540
1437540512999694336,1437493764545601537
1437540506603597827,1437525830641635331
1437540496298188800,1437369135588159490
1437540490254110722,1437443797915422723
1437540475272052744,1437425135443664905
1437540460264833030,1437477860491599880
1437540459572776961,1437537698689003528
1437540455122624515,1436743598729400322
1437540446771859464,1437485352214622209
1437540437716307968,1434527743056781314
1437540437473042432,1437397846634889224
1437540432141950978,1437483732508741636
1437540430028017664,1437343371987599368
1437540429076082691,1437540132241002501
1437540424500056065,1437484418717786114
1437540422377672709,1436883998077173762
1437540416786739202,1437345251488849922
1437540414140166147,1393204460063711238
1437540413045452803,1437525648298369027
1437540412416151555,1435104410380615681
1437540410797211658,1437533617681575946
1437540395173429248,1437526726976868353
1437540392031883270,1437287033387593728
1437540378249474048,1437495299610710017
1437540378090119169,1437538337972162560
1437540374009028609,1435104410380615681
1437540364290777091,1437136688300630024
1437540362738864134,1437539318646575104
1437540359618404352,1437530480103018498
1437540345579978756,1437515186831769604
1437176427942711296,1437176345587556356
1437176427636535305,1437174781065973763
1437176401388507137,1436619823295787012
1437176394291683330,1437072803820232708
1437176392869875717,1437173884915228686
1437176392697978881,1436884710785912833
1437176392114917381,1437170171496570882
1437176391800328192,1437169244400201735
1437176391360028672,1437049457628090374
1437176390487523328,1437143985517219845
1437176377795514371,1437110038439546891
1437176372972056582,1433958566088617986
1437176371873292288,1437162999094067201
1437176371294265351,1436885176370429958
